Time,Velocity,Acceleration,Apogee,Predicted DP
4.500000000000000111e-01,6.335429110798899899e+01,1.491074825803717374e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.525000000000000133e-01,6.372716288058030898e+01,1.491869304695868550e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.550000000000000155e-01,6.410023329087846378e+01,1.492663722812266087e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.575000000000000178e-01,6.447350232364068745e+01,1.493458079281537607e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.600000000000000200e-01,6.484696996340582587e+01,1.494252373227460851e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.625000000000000222e-01,6.522063265105923335e+01,1.495018255062210528e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.650000000000000244e-01,6.559448682571486700e+01,1.495784063256199659e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.675000000000000266e-01,6.596853246891149070e+01,1.496549796925876592e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.699999999999999734e-01,6.634276956196627850e+01,1.497315455179380592e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.724999999999999756e-01,6.671720110497960832e+01,1.498105190328386129e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.749999999999999778e-01,6.709183009926826458e+01,1.498894856953452859e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.774999999999999800e-01,6.746665652764762910e+01,1.499684454134850284e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.799999999999999822e-01,6.784168037270150364e+01,1.500473980936726264e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.824999999999999845e-01,6.821689851299106522e+01,1.501238605056088602e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.849999999999999867e-01,6.859230782549434480e+01,1.502003148782995368e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.874999999999999889e-01,6.896790829005647083e+01,1.502767611176596176e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.899999999999999911e-01,6.934369988628668580e+01,1.503531991287590301e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.924999999999999933e-01,6.971968805549116155e+01,1.504339985653902261e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.949999999999999956e-01,7.009587824128981026e+01,1.505147911222056507e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.974999999999999978e-01,7.047227042642249728e+01,1.505955766996859211e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,7.084886459337995745e+01,1.506763551977371947e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.024999999999999467e-01,7.122565979664075542e+01,1.507563842801672251e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.049999999999998934e-01,7.160265509007912499e+01,1.508364058686505871e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.074999999999998401e-01,7.197985045489659228e+01,1.509164198607915068e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.100000000000000089e-01,7.235724587203822011e+01,1.509964261536158858e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.124999999999999556e-01,7.273484012660702547e+01,1.510754681405507824e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.149999999999999023e-01,7.311263200297079834e+01,1.511545019330266371e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.174999999999998490e-01,7.349062148057663535e+01,1.512335274258784352e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.200000000000000178e-01,7.386880853860795071e+01,1.513125445130392279e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.224999999999999645e-01,7.424718799254843304e+01,1.513874221659015689e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.249999999999999112e-01,7.462575465533198837e+01,1.514622898215317832e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.274999999999998579e-01,7.500450850189584173e+01,1.515371473733807193e+02,0.000000000000000000e+00,0.000000000000000000e+00
